feature,timestamp,Max-mag,Max-x,Max-y,Max-z,Mean-mag,Mean-x,Mean-y,Mean-z,Min-mag,Min-x,Min-y,Min-z,Std-mag,Std-x,Std-y,Std-z,label
0,3000,1,0.656964657,0.5,1,0,0,0,0.057562399,0,0,0,0,0.756474882,0.733741048,1,0.77307609,1
1,3600,1,1,0.5,1,0.254486742,0.373877973,0.210496201,0.073070946,0.158413258,0,0.249271137,0,1,1,0.981580365,0.79906054,1
2,4200,1,1,0.5,1,0.489823879,0.61139607,0.484779822,0.132726523,0.170032012,0,0.387755102,0,0.991055713,0.929365287,0.777363282,0.903417327,1
3,4800,1,1,0.5,1,0.687958367,0.831168563,0.668337453,0.23126447,0.293172684,0.2,0.504373178,0,0.898065657,0.733941186,0.522875895,1,1
4,5400,0.683725007,1,0.421511628,0.540364583,0.863547458,1,0.739700632,0.491325997,0.43479118,0.434615385,0.655976676,0,0.601288506,0.48561034,0.410974742,0.994530058,1
5,6000,0.683725007,1,0.531976744,0.540364583,0.952914104,0.97369183,0.81124691,0.745266563,0.528283015,0.434615385,0.655976676,0.049701789,0.373295749,0.46275348,0.421943826,0.676256724,1
6,6600,0.554929042,0.567567568,0.531976744,0.540364583,0.935661969,0.8357394,0.867962098,0.809552504,0.741790676,0.434615385,0.727405248,0.413518887,0.296715714,0.304183915,0.363956053,0.567116453,1
7,7200,0.554929042,0.505197505,0.531976744,0.540364583,0.91581207,0.820678439,0.894567415,0.728182375,0.741790676,0.667307692,0.728862974,0.624254473,0.293266739,0.220744764,0.322946806,0.488733513,1
8,7800,0.554929042,0.490644491,0.531976744,0.540364583,0.906414592,0.815925543,0.909754646,0.683105515,0.741790676,0.678846154,0.728862974,0.624254473,0.255671158,0.176735478,0.280616291,0.393215516,1
9,8400,0.554929042,0.490644491,0.531976744,0.26171875,0.895480258,0.814643226,0.93792914,0.606894802,0.741790676,0.678846154,0.880466472,0.624254473,0.219202745,0.144410386,0.199339399,0.266507341,1
10,9000,0.31127511,0.330561331,0.305232558,0.260416667,0.909658984,0.800641158,0.929025909,0.69195395,0.751217951,0.776923077,0.881924198,0.743538767,0.161499663,0.084706683,0.132922915,0.227182696,1
11,9600,0.31127511,0.237006237,0.305232558,0.260416667,0.930594449,0.809513961,0.916826879,0.771589864,0.751217951,0.776923077,0.881924198,0.743538767,0.14342813,0.068166461,0.117419208,0.193583079,1
12,10200,0.31127511,0.232848233,0.075581395,0.260416667,0.952571863,0.822068252,0.903369038,0.851606356,0.890632606,0.901923077,0.941690962,0.765407555,0.067119797,0.035958847,0.04155277,0.088207056,1
13,10800,0.295529021,0.232848233,0.072674419,0.23828125,0.95298032,0.827528438,0.903689463,0.845073103,0.928180365,0.917307692,0.943148688,0.912524851,0.0343748,0.021917819,0.028055645,0.030168572,1
14,11400,0.277203775,0.222453222,0.078488372,0.221354167,0.951951145,0.832938038,0.906360447,0.829741714,0.954112192,0.936538462,0.962099125,0.894632207,0.024048471,0.012747886,0.023572065,0.032293523,1
15,12000,0.275620803,0.222453222,0.078488372,0.217447917,0.949300346,0.831913133,0.909113797,0.817766642,0.961166516,0.936538462,0.976676385,0.894632207,0.022132011,0.01384016,0.020406755,0.039368489,1
16,12600,0.275620803,0.222453222,0.078488372,0.217447917,0.945269474,0.828831437,0.913393756,0.801592084,0.961166516,0.936538462,0.976676385,0.894632207,0.024103079,0.016085309,0.022139883,0.039678884,1
17,13200,0.27843167,0.230769231,0.078488372,0.223958333,0.944983524,0.831106515,0.914561018,0.795566268,0.961166516,0.936538462,0.973760933,0.894632207,0.025918438,0.019650854,0.021608513,0.036070957,1
18,13800,0.27843167,0.230769231,0.078488372,0.223958333,0.941981571,0.82926577,0.916941316,0.784085503,0.953135728,0.932692308,0.973760933,0.878727634,0.030853922,0.022312311,0.024797801,0.042727488,1
19,14400,0.27843167,0.230769231,0.069767442,0.223958333,0.93774142,0.822254395,0.91909274,0.776061654,0.953135728,0.932692308,0.973760933,0.878727634,0.029884761,0.022207252,0.021618467,0.042386688,1
20,15000,0.27843167,0.230769231,0.066860465,0.223958333,0.932383458,0.816256463,0.921312826,0.76255114,0.928253655,0.919230769,0.973760933,0.864811133,0.041369595,0.027214319,0.020340139,0.058489063,1
21,15600,0.27843167,0.230769231,0.11627907,0.223958333,0.922523144,0.806184074,0.926348073,0.734768958,0.927450356,0.917307692,0.973760933,0.838966203,0.055943424,0.034994736,0.032486275,0.077949082,1
22,16200,0.311534953,0.257796258,0.11627907,0.256510417,0.920854907,0.805832472,0.924562849,0.732009768,0.927450356,0.903846154,0.937317784,0.831013917,0.071667444,0.045756705,0.057082709,0.105331884,1
23,16800,0.311534953,0.257796258,0.11627907,0.256510417,0.915481869,0.799234747,0.928407947,0.716818369,0.927450356,0.903846154,0.937317784,0.831013917,0.065619277,0.043361344,0.058700452,0.096120032,1
24,17400,0.311534953,0.257796258,0.11627907,0.256510417,0.91227031,0.796070321,0.927355122,0.711807428,0.920197952,0.892307692,0.937317784,0.831013917,0.070847665,0.047824322,0.062286924,0.099049189,1
25,18000,0.311534953,0.257796258,0.11627907,0.256510417,0.910900822,0.793133402,0.929048796,0.708572516,0.920197952,0.892307692,0.937317784,0.831013917,0.06986543,0.049614449,0.063419734,0.097483295,1
26,18600,0.311534953,0.257796258,0.11627907,0.256510417,0.91746371,0.800363723,0.924740992,0.72783129,0.920197952,0.892307692,0.937317784,0.831013917,0.067138192,0.048836991,0.058336774,0.092274237,1
27,19200,0.264187555,0.201663202,0.095930233,0.217447917,0.913003978,0.794994829,0.930879795,0.710760839,0.920197952,0.892307692,0.970845481,0.854870775,0.041630117,0.031328329,0.031829827,0.044720611,1
28,19800,0.264187555,0.203742204,0.078488372,0.217447917,0.916673525,0.800868666,0.928865696,0.718277251,0.920197952,0.892307692,0.970845481,0.854870775,0.044185169,0.033275123,0.027386521,0.046623661,1
29,20400,0.264187555,0.207900208,0.072674419,0.217447917,0.921656058,0.807528438,0.929575208,0.724969078,0.939899044,0.913461538,0.978134111,0.86083499,0.038853806,0.028269013,0.021375456,0.044374307,1
30,21000,0.264187555,0.20997921,0.072674419,0.217447917,0.929917821,0.819358842,0.925913211,0.742507374,0.939899044,0.928846154,0.978134111,0.878727634,0.033187572,0.020854331,0.01998438,0.03775082,1
31,21600,0.264187555,0.212058212,0.072674419,0.213541667,0.936994151,0.829369183,0.924059324,0.755637309,0.947832217,0.934615385,0.978134111,0.878727634,0.029832366,0.019583403,0.018410843,0.035473833,1
32,22200,0.263019064,0.212058212,0.063953488,0.213541667,0.942237421,0.835780765,0.921083951,0.769306397,0.949229875,0.934615385,0.978134111,0.878727634,0.021935745,0.017175112,0.015517272,0.025718296,1
33,22800,0.263019064,0.218295218,0.061046512,0.213541667,0.945732502,0.841846541,0.919489408,0.775227776,0.949229875,0.934615385,0.979591837,0.878727634,0.019708787,0.016482362,0.012489945,0.026925719,1
34,23400,0.263019064,0.218295218,0.061046512,0.20703125,0.94632339,0.842088935,0.91863499,0.778281691,0.967847911,0.955769231,0.979591837,0.89860835,0.012283981,0.012766438,0.009535414,0.017936034,1
35,24000,0.263019064,0.218295218,0.055232558,0.20703125,0.945741531,0.840103413,0.918268791,0.779677143,0.967847911,0.955769231,0.979591837,0.89860835,0.011837124,0.013635768,0.006641864,0.015543686,1
36,24600,0.252134939,0.218295218,0.055232558,0.203125,0.941846534,0.834560496,0.918772315,0.773334179,0.967847911,0.955769231,0.982507289,0.89860835,0.008876142,0.012058839,0.005320579,0.012465665,1
37,25200,0.252134939,0.218295218,0.055232558,0.203125,0.939107872,0.829679421,0.91964204,0.769464971,0.967847911,0.955769231,0.982507289,0.89860835,0.006828502,0.011139155,0.004363159,0.01158722,1
38,25800,0.244721484,0.1995842,0.049418605,0.196614583,0.936627328,0.825046536,0.919710702,0.767403508,0.963785562,0.955769231,0.979591837,0.916500994,0.002999548,0.004803515,0.004305905,0.00255047,1
39,26400,0.245084185,0.1995842,0.049418605,0.203125,0.938547101,0.827693899,0.918840978,0.771621579,0.963785562,0.957692308,0.979591837,0.908548708,0.005300334,0.004465798,0.005603332,0.008547867,1
40,27000,0.246378493,0.1995842,0.049418605,0.203125,0.939825218,0.829679421,0.918314566,0.774031905,0.963785562,0.957692308,0.979591837,0.908548708,0.005973677,0.004870836,0.0060017,0.009283928,1
41,27600,0.246378493,0.1995842,0.049418605,0.203125,0.937368864,0.826204757,0.91955049,0.768545241,0.963358447,0.95,0.979591837,0.904572565,0.01089008,0.008918152,0.006323199,0.015987823,1
42,28200,0.246378493,0.1995842,0.049418605,0.203125,0.935937341,0.824074457,0.920534652,0.765088326,0.961728544,0.95,0.979591837,0.904572565,0.013036854,0.010847556,0.007292327,0.017085196,1
43,28800,0.246378493,0.1995842,0.055232558,0.203125,0.934250855,0.821116856,0.920488877,0.7635343,0.961728544,0.948076923,0.982507289,0.904572565,0.012927978,0.011171741,0.006207781,0.018772495,1
44,29400,0.249384447,0.212058212,0.055232558,0.197916667,0.934374471,0.822254395,0.920923739,0.761663125,0.961728544,0.948076923,0.982507289,0.904572565,0.013873168,0.013927329,0.004552824,0.016978943,1
45,30000,0.257531983,0.234927235,0.055232558,0.197916667,0.935829796,0.827900987,0.919834907,0.760322619,0.959972941,0.948076923,0.975218659,0.894632207,0.018864731,0.022822344,0.007068999,0.01919079,1
46,30600,0.279537709,0.239085239,0.063953488,0.21484375,0.942968759,0.838738366,0.916987091,0.773968475,0.956382623,0.948076923,0.95335277,0.892644135,0.027064683,0.025911256,0.022812205,0.027411212,1
47,31200,0.322829,0.27027027,0.063953488,0.2734375,0.956701902,0.856256463,0.909548659,0.807808189,0.956382623,0.948076923,0.94606414,0.892644135,0.0503756,0.036333548,0.039208804,0.069034285,1
48,31800,0.322829,0.27027027,0.063953488,0.2734375,0.968857592,0.87344364,0.9036208,0.834353493,0.956382623,0.959615385,0.94606414,0.892644135,0.055193994,0.033555897,0.043931899,0.083771817,1
49,32400,0.322829,0.27027027,0.063953488,0.2734375,0.974354946,0.883888314,0.902705301,0.839808442,0.956382623,0.963461538,0.94606414,0.88667992,0.052140454,0.030521303,0.044984725,0.085579083,1
